Data Size,Insertion Sort,Intro Sort,Merge Sort,Quick Sort,Shell Sort,Time Sort
11,8.0059,8.8832,7.2755,6.3402,6.1482,9.6425
11,4.4428,5.2641,6.1544,5.29,5.6414,3.72
11,11.5891,8.6582,9.0746,8.2206,6.7525,9.9671
11,10.3536,7.0426,10.171,12.8454,5.3874,8.518
11,10.5961,7.8744,6.5914,7.8196,7.9996,8.2464
21,18.2842,15.5584,6.4699,10.1939,7.1669,11.3809
21,8.9238,9.7599,8.2456,9.607,7.7291,8.78
21,8.1608,8.8556,8.3409,7.5583,6.8298,8.8593
21,10.9641,6.7177,12.5924,15.1648,9.776,27.7041
21,17.4281,12.7797,11.0944,6.8428,6.6311,13.1302
31,19.6569,15.3318,13.3474,16.5329,11.7416,10.9483
31,9.1193,13.9357,14.1886,10.8772,20.1357,11.447
31,14.806,14.3955,13.036,8.6355,9.2055,14.7602
31,17.1006,18.8456,10.362,10.5894,13.8116,12.8415
31,15.4607,21.7601,15.0587,23.0355,18.7448,12.8043
41,17.8072,21.3914,18.7326,21.093,17.7955,17.5235
41,18.541,16.218,19.8998,21.4581,25.5002,64.1862
41,19.2766,13.5974,11.9572,19.9818,16.9939,16.6765
41,21.65,15.3548,25.0438,24.2426,16.9853,24.7363
41,16.766,22.0065,15.4024,14.7476,20.3402,23.5507
51,20.1847,28.2672,24.0328,34.3644,31.6391,18.5006
51,26.5894,14.5359,14.8425,32.7094,28.1811,20.6699
51,27.905,27.7097,24.73,35.5841,18.6037,22.7343
51,29.9723,26.6247,23.3037,27.6841,18.4228,22.6776
51,29.8271,39.7257,36.0537,39.3019,18.5368,23.969
61,27.7717,29.3442,42.1985,54.419,31.2303,33.7463
61,21.8252,28.1591,25.1353,80.9231,30.8157,29.0366
61,26.1839,23.8105,22.5927,42.3387,34.4863,19.3418
61,31.9203,24.3223,29.1276,37.7271,19.9373,28.3709
61,30.9084,26.3298,22.7049,48.8287,28.6459,29.0058
71,30.883,33.2744,33.658,134.653,36.1412,40.4153
71,28.2773,35.8112,25.4058,61.1701,41.5085,25.1936
71,32.9174,29.7737,30.9928,73.782,27.1763,37.2355
71,30.625,28.989,26.0978,83.9445,37.1688,27.1559
71,34.0552,33.4493,32.8127,242.417,31.4715,28.4086
81,37.0022,34.4842,37.1949,198.857,29.5269,40.4903
81,42.7186,34.6033,36.5813,84.1356,38.6697,46.9207
81,31.3452,35.1834,35.2662,350.078,32.8509,32.1005
81,33.3919,31.7051,37.7628,375.393,37.0098,35.9281
81,32.493,33.1321,42.1001,356.651,41.5115,37.2685
91,37.712,31.9367,42.7304,271.155,36.4618,38.9843
91,36.4933,36.1515,38.8291,626.389,36.4616,36.2456
91,36.6066,29.9915,42.0631,443.384,40.086,39.0835
91,33.9924,37.8481,37.4661,377.06,37.4431,42.1533
91,39.145,40.7235,38.086,461.652,39.221,42.6478
101,43.776,45.1201,47.6124,715.474,39.932,38.4428
101,40.139,37.091,73.377,1508.79,41.5282,42.2357
101,42.4391,42.0632,51.6896,829.358,43.9878,38.9685
101,60.9777,50.2118,57.2007,2087.92,44.9868,46.6846
101,42.2997,48.2091,41.7333,826.632,44.0292,43.823
11,4.0894,4.4603,8.8392,4.2394,6.0667,4.8689
11,4.3994,6.2945,4.7138,4.2283,4.5732,4.2814
11,6.6085,4.1071,6.4614,4.7015,4.3251,4.3554
11,5.7053,4.1681,4.0412,6.6562,4.453,4.0381
11,9.6002,8.4847,3.847,5.8916,3.7821,3.6963
21,7.3492,13.8568,13.0105,11.0784,7.6348,11.7874
21,10.7885,7.2167,8.6402,8.4276,8.7484,8.0607
21,10.6087,7.8384,8.2874,7.8314,11.7234,7.7276
21,8.4102,8.1705,13.9488,9.9617,10.0825,11.0178
21,14.6239,8.9728,9.9144,11.1746,8.453,17.5827
31,9.9152,16.6694,12.8651,17.5185,12.2791,11.5358
31,16.3535,15.186,9.8412,18.3649,23.2099,12.821
31,12.4871,28.658,13.5059,13.4246,11.984,16.0776
31,12.0416,13.8766,14.6594,17.2756,11.789,20.3802
31,19.8397,19.8425,13.0027,28.8716,15.0581,17.1
41,14.4293,18.2656,20.1518,28.2155,28.304,17.413
41,19.5901,24.7997,16.6352,15.1763,17.1782,21.3182
41,18.4488,13.2596,20.7269,39.0865,19.852,15.3614
41,23.4514,22.7374,19.6504,17.9211,16.7893,17.3141
41,23.2763,16.575,32.4312,29.2035,31.4424,21.3112
51,23.1903,23.3337,24.7503,38.1989,37.4271,36.8783
51,21.3392,31.5346,19.1919,33.1883,20.2082,22.0067
51,29.949,21.4903,30.757,58.9174,31.4895,27.4415
51,24.3978,28.2458,33.5028,41.3067,26.9869,23.4113
51,28.4617,21.5673,27.4068,56.0237,26.1218,34.1547
